group,gain_pct,split_pct,n_features
Momentum,40.9349466235267,28.914337896139475,6
Other,34.70349085209081,36.938229730611184,51
Value,9.388624893450954,9.894052200490137,9
Volatility,5.53616614468428,9.718870262866089,7
Liquidity,3.1019716241279283,4.490434879841963,4
Investment,2.6604545850563976,4.341343869098092,9
Profitability,1.6620138975756513,2.6351836148979193,4
Accruals,1.557636398814459,2.1646151122375765,4
Size,0.45469498067281855,0.9029324338175685,1
