Strategy,Mean Return (%),Std Dev (%),Sharpe Ratio,Ann. Return (%),Total Return (%),Max Drawdown (%),Skewness,Kurtosis,N Months
GBRT Long-Short (EW),20.163,7.284,9.589,787.292,8.116958859306575e+21,0.0,1.086,0.589,252
GBRT Long-Short (VW),18.391,5.893,10.811,647.468,2.2153915481150184e+20,0.0,1.072,0.631,252
